,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
161,Maxi Gómez,17.0,2.0,1.0,637.0,1273.0,22000000.0,44000000.0,25.0,1.86,78.0,78.0,1.0,5.0,4.0,78.0,75.0,54.0,80.0,65.0,79.0,82.0,59.0,76.0,80.0,69.0,67.0,76.0,74.0,73.0,74.0,64.0,78.0,56.0,75.0,52.0,54.0,76.0,77.0,59.0,75.0,52.0,41.0,78.0,65.0
163,Alexis Saelemaekers,28.0,2.0,3.0,875.0,1750.0,22000000.0,8800000.0,22.0,1.8,76.0,81.0,1.0,4.0,3.0,80.0,68.0,45.0,77.0,65.0,78.0,71.0,68.0,69.0,78.0,81.0,81.0,87.0,75.0,73.0,62.0,77.0,83.0,59.0,72.0,67.0,64.0,72.0,70.0,41.0,70.0,65.0,61.0,78.0,65.0
165,Ché Adams,17.0,5.0,1.0,209.0,1044.0,22000000.0,7700000.0,25.0,1.79,76.0,81.0,1.0,3.0,3.0,55.0,76.0,63.0,70.0,70.0,73.0,63.0,59.0,53.0,75.0,83.0,84.0,78.0,74.0,74.0,86.0,76.0,77.0,79.0,75.0,74.0,36.0,77.0,62.0,69.0,71.0,42.0,36.0,78.0,33.0
166,Gianluca Scamacca,20.0,8.0,0.0,118.0,941.0,22000000.0,16500000.0,23.0,1.95,74.0,84.0,2.0,3.0,4.0,22.0,76.0,74.0,69.0,72.0,70.0,68.0,68.0,45.0,76.0,67.0,72.0,61.0,62.0,54.0,77.0,82.0,54.0,83.0,71.0,55.0,24.0,77.0,59.0,68.0,65.0,23.0,20.0,76.0,40.0
167,Kelechi Iheanacho,22.0,4.0,7.0,253.0,1012.0,22000000.0,16500000.0,25.0,1.85,78.0,82.0,1.0,3.0,4.0,59.0,82.0,67.0,77.0,77.0,79.0,74.0,64.0,69.0,78.0,75.0,74.0,73.0,77.0,72.0,81.0,57.0,71.0,73.0,78.0,71.0,30.0,80.0,71.0,70.0,68.0,36.0,32.0,80.0,39.0
168,Kasper Dolberg,17.0,6.0,1.0,158.0,946.0,22000000.0,19800000.0,24.0,1.87,79.0,83.0,2.0,4.0,3.0,50.0,80.0,74.0,79.0,78.0,78.0,76.0,70.0,60.0,79.0,69.0,76.0,72.0,75.0,64.0,86.0,73.0,73.0,79.0,79.0,32.0,23.0,81.0,77.0,78.0,76.0,24.0,19.0,81.0,28.0
169,Paul Onuachu,26.0,14.0,0.0,134.0,1873.0,22000000.0,6600000.0,27.0,2.01,79.0,80.0,1.0,2.0,3.0,41.0,83.0,85.0,73.0,73.0,73.0,58.0,30.0,68.0,78.0,64.0,76.0,46.0,74.0,32.0,78.0,58.0,75.0,93.0,63.0,77.0,41.0,81.0,68.0,84.0,74.0,48.0,36.0,80.0,33.0
171,Wout Weghorst,23.0,7.0,1.0,283.0,1981.0,22000000.0,7700000.0,29.0,1.97,83.0,83.0,2.0,3.0,2.0,42.0,87.0,92.0,76.0,83.0,65.0,40.0,37.0,43.0,79.0,59.0,66.0,62.0,85.0,44.0,86.0,79.0,83.0,89.0,74.0,85.0,34.0,88.0,67.0,71.0,83.0,67.0,30.0,83.0,44.0
172,Neal Maupay,20.0,8.0,1.0,190.0,1517.0,22000000.0,13200000.0,25.0,1.73,77.0,82.0,1.0,4.0,3.0,61.0,80.0,73.0,74.0,76.0,68.0,63.0,55.0,59.0,78.0,79.0,76.0,76.0,79.0,81.0,78.0,59.0,74.0,67.0,71.0,80.0,26.0,82.0,69.0,80.0,69.0,55.0,33.0,79.0,30.0
173,Jérémie Boga,12.0,0.0,3.0,0.0,673.0,22000000.0,2750000.0,25.0,1.74,77.0,83.0,1.0,3.0,4.0,78.0,72.0,59.0,73.0,60.0,84.0,78.0,64.0,69.0,79.0,90.0,81.0,88.0,67.0,82.0,80.0,61.0,68.0,63.0,75.0,56.0,41.0,72.0,68.0,55.0,73.0,42.0,34.0,78.0,24.0
