,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
295,Arnaud Kalimuendo,20.0,6.0,0.0,198.0,1187.0,13200000.0,13200000.0,19.0,1.75,73.0,82.0,1.0,3.0,3.0,47.0,74.0,70.0,58.0,71.0,74.0,57.0,39.0,40.0,73.0,82.0,82.0,75.0,69.0,81.0,72.0,59.0,60.0,71.0,71.0,60.0,23.0,74.0,58.0,62.0,69.0,21.0,17.0,75.0,32.0
296,Amine Adli,25.0,3.0,2.0,442.0,1326.0,13200000.0,6600000.0,21.0,1.74,71.0,83.0,1.0,3.0,3.0,61.0,75.0,63.0,70.0,58.0,75.0,70.0,52.0,59.0,74.0,85.0,84.0,76.0,64.0,80.0,75.0,41.0,66.0,53.0,66.0,36.0,24.0,70.0,63.0,68.0,68.0,35.0,35.0,73.0,34.0
298,Randal Kolo Muani,21.0,7.0,3.0,253.0,1774.0,13200000.0,13200000.0,23.0,1.87,74.0,83.0,1.0,3.0,3.0,37.0,72.0,75.0,73.0,64.0,81.0,62.0,54.0,62.0,78.0,84.0,81.0,78.0,70.0,52.0,71.0,73.0,67.0,69.0,63.0,31.0,22.0,74.0,60.0,62.0,69.0,24.0,31.0,76.0,28.0
300,Eldor Shomurodov,25.0,3.0,5.0,301.0,902.0,13200000.0,7700000.0,26.0,1.9,71.0,74.0,1.0,4.0,3.0,55.0,70.0,74.0,67.0,73.0,69.0,68.0,52.0,58.0,75.0,83.0,80.0,71.0,57.0,70.0,72.0,61.0,67.0,76.0,66.0,55.0,34.0,70.0,65.0,65.0,60.0,33.0,30.0,73.0,32.0
301,Noah Okafor,23.0,11.0,5.0,96.0,1053.0,13200000.0,8800000.0,21.0,1.85,72.0,81.0,1.0,4.0,4.0,68.0,68.0,63.0,65.0,61.0,75.0,70.0,43.0,64.0,74.0,91.0,92.0,88.0,66.0,51.0,68.0,71.0,72.0,84.0,67.0,53.0,20.0,63.0,58.0,61.0,57.0,25.0,20.0,73.0,40.0
302,Habib Diallo,19.0,9.0,1.0,125.0,1126.0,13200000.0,13200000.0,26.0,1.86,75.0,78.0,2.0,3.0,3.0,49.0,78.0,81.0,66.0,72.0,71.0,55.0,37.0,43.0,74.0,71.0,73.0,67.0,75.0,68.0,77.0,87.0,70.0,79.0,61.0,55.0,19.0,78.0,57.0,80.0,66.0,17.0,17.0,77.0,13.0
303,Álex Berenguer,21.0,0.0,2.0,0.0,1230.0,13200000.0,6600000.0,26.0,1.75,80.0,81.0,1.0,4.0,3.0,76.0,79.0,49.0,79.0,70.0,82.0,74.0,75.0,65.0,81.0,86.0,81.0,85.0,79.0,85.0,77.0,73.0,74.0,56.0,72.0,72.0,65.0,79.0,78.0,69.0,78.0,64.0,66.0,80.0,65.0
304,Roland Sallai,17.0,1.0,1.0,691.0,691.0,13200000.0,2200000.0,24.0,1.82,76.0,79.0,2.0,4.0,4.0,72.0,73.0,49.0,75.0,67.0,81.0,49.0,45.0,62.0,80.0,76.0,69.0,75.0,74.0,74.0,69.0,64.0,62.0,61.0,64.0,59.0,39.0,76.0,75.0,62.0,65.0,37.0,38.0,77.0,32.0
306,Vincenzo Grifo,21.0,5.0,7.0,333.0,1665.0,13200000.0,9900000.0,28.0,1.8,79.0,79.0,2.0,2.0,4.0,88.0,69.0,47.0,77.0,73.0,82.0,85.0,80.0,75.0,82.0,73.0,67.0,78.0,78.0,79.0,81.0,52.0,71.0,63.0,74.0,52.0,45.0,78.0,77.0,79.0,70.0,31.0,30.0,79.0,50.0
307,Quincy Promes,19.0,6.0,1.0,245.0,1472.0,13200000.0,16500000.0,30.0,1.74,80.0,80.0,3.0,4.0,4.0,78.0,79.0,66.0,79.0,69.0,81.0,75.0,76.0,73.0,80.0,87.0,88.0,85.0,82.0,78.0,81.0,79.0,81.0,64.0,76.0,65.0,38.0,81.0,81.0,74.0,79.0,48.0,40.0,81.0,46.0
308,Adnan Januzaj,28.0,3.0,3.0,535.0,1604.0,13200000.0,7700000.0,26.0,1.86,81.0,81.0,1.0,4.0,4.0,81.0,77.0,42.0,81.0,70.0,86.0,80.0,73.0,76.0,81.0,83.0,75.0,84.0,79.0,75.0,74.0,61.0,70.0,58.0,76.0,41.0,36.0,78.0,81.0,60.0,78.0,23.0,22.0,81.0,30.0
309,Takumi Minamino,15.0,5.0,1.0,132.0,659.0,13200000.0,13200000.0,27.0,1.74,75.0,76.0,1.0,4.0,3.0,66.0,75.0,50.0,71.0,70.0,81.0,73.0,69.0,63.0,78.0,83.0,75.0,89.0,71.0,86.0,71.0,76.0,76.0,55.0,73.0,61.0,49.0,70.0,70.0,72.0,79.0,30.0,26.0,75.0,32.0
310,Divock Origi,10.0,5.0,2.0,79.0,393.0,13200000.0,11000000.0,26.0,1.85,76.0,79.0,2.0,4.0,4.0,69.0,76.0,74.0,73.0,70.0,76.0,54.0,40.0,59.0,77.0,73.0,84.0,71.0,76.0,64.0,80.0,76.0,70.0,77.0,70.0,69.0,28.0,77.0,69.0,65.0,77.0,24.0,18.0,78.0,16.0
311,Juanmi,22.0,13.0,2.0,96.0,1246.0,13200000.0,8800000.0,28.0,1.72,75.0,75.0,1.0,3.0,3.0,73.0,77.0,72.0,74.0,71.0,76.0,62.0,57.0,59.0,77.0,74.0,73.0,78.0,79.0,76.0,74.0,73.0,65.0,41.0,73.0,55.0,23.0,81.0,68.0,64.0,71.0,28.0,25.0,76.0,25.0
312,Paco Alcácer,12.0,4.0,4.0,151.0,603.0,13200000.0,46200000.0,28.0,1.75,81.0,81.0,2.0,4.0,3.0,60.0,85.0,78.0,78.0,85.0,78.0,85.0,85.0,51.0,82.0,79.0,76.0,83.0,85.0,81.0,82.0,67.0,60.0,63.0,84.0,57.0,26.0,86.0,67.0,71.0,84.0,24.0,22.0,81.0,43.0
313,Michail Antonio,24.0,9.0,7.0,227.0,2044.0,13200000.0,2750000.0,31.0,1.8,79.0,79.0,2.0,3.0,4.0,75.0,79.0,84.0,75.0,70.0,79.0,66.0,60.0,72.0,76.0,79.0,87.0,80.0,80.0,79.0,79.0,91.0,76.0,86.0,68.0,83.0,45.0,80.0,74.0,75.0,73.0,56.0,53.0,79.0,51.0
316,Moussa Djenepo,10.0,0.0,0.0,0.0,633.0,12100000.0,13200000.0,23.0,1.77,74.0,80.0,1.0,3.0,3.0,68.0,70.0,57.0,67.0,57.0,83.0,65.0,59.0,59.0,75.0,84.0,81.0,89.0,69.0,82.0,69.0,86.0,69.0,62.0,68.0,64.0,33.0,72.0,69.0,60.0,68.0,37.0,31.0,75.0,32.0
326,Rubén Vargas,17.0,1.0,2.0,1226.0,1226.0,12100000.0,4400000.0,23.0,1.79,75.0,83.0,2.0,4.0,3.0,68.0,68.0,66.0,71.0,62.0,78.0,59.0,48.0,69.0,77.0,88.0,79.0,91.0,72.0,90.0,72.0,85.0,78.0,62.0,73.0,49.0,48.0,71.0,64.0,60.0,63.0,51.0,45.0,76.0,59.0
328,Cyle Larin,24.0,7.0,1.0,226.0,1585.0,12100000.0,3520000.0,26.0,1.88,74.0,75.0,1.0,4.0,3.0,55.0,75.0,75.0,69.0,61.0,72.0,60.0,22.0,40.0,72.0,70.0,71.0,63.0,73.0,48.0,80.0,68.0,77.0,87.0,69.0,59.0,22.0,75.0,67.0,63.0,68.0,18.0,20.0,75.0,21.0
329,Jordan Larsson,19.0,1.0,0.0,1237.0,1237.0,12100000.0,880000.0,24.0,1.75,72.0,72.0,1.0,4.0,3.0,68.0,59.0,58.0,68.0,57.0,65.0,69.0,70.0,65.0,66.0,80.0,81.0,79.0,70.0,77.0,71.0,74.0,86.0,71.0,68.0,69.0,69.0,66.0,72.0,58.0,70.0,67.0,65.0,72.0,61.0
333,Daryl Dike,1.0,0.0,0.0,0.0,31.0,11000000.0,11000000.0,21.0,1.87,68.0,80.0,1.0,4.0,2.0,30.0,69.0,64.0,57.0,47.0,64.0,33.0,33.0,35.0,66.0,65.0,73.0,53.0,67.0,46.0,80.0,72.0,59.0,96.0,60.0,57.0,15.0,66.0,50.0,65.0,52.0,15.0,10.0,70.0,15.0
338,Beto,22.0,10.0,0.0,171.0,1714.0,11000000.0,11000000.0,23.0,1.94,74.0,81.0,1.0,3.0,2.0,40.0,75.0,72.0,62.0,69.0,74.0,59.0,42.0,57.0,73.0,69.0,73.0,42.0,73.0,34.0,76.0,59.0,74.0,85.0,69.0,70.0,18.0,76.0,55.0,70.0,68.0,20.0,21.0,76.0,17.0
339,Mohamed Bayo,17.0,9.0,2.0,149.0,1340.0,11000000.0,220000.0,23.0,1.88,73.0,80.0,1.0,2.0,2.0,57.0,77.0,63.0,63.0,71.0,75.0,69.0,51.0,46.0,75.0,72.0,72.0,69.0,74.0,55.0,76.0,59.0,62.0,68.0,69.0,38.0,23.0,75.0,66.0,73.0,72.0,19.0,16.0,75.0,24.0
340,Yusuf Demir,9.0,0.0,0.0,0.0,290.0,11000000.0,11000000.0,18.0,1.73,72.0,85.0,1.0,3.0,4.0,65.0,69.0,43.0,66.0,56.0,78.0,68.0,58.0,58.0,79.0,86.0,83.0,86.0,60.0,89.0,65.0,76.0,55.0,43.0,68.0,54.0,19.0,55.0,69.0,56.0,68.0,18.0,11.0,72.0,15.0
341,Terem Moffi,19.0,2.0,3.0,737.0,1474.0,11000000.0,3300000.0,22.0,1.88,74.0,82.0,2.0,3.0,2.0,49.0,77.0,73.0,64.0,68.0,73.0,59.0,36.0,41.0,71.0,70.0,78.0,59.0,69.0,56.0,77.0,77.0,67.0,86.0,68.0,57.0,15.0,73.0,47.0,65.0,66.0,23.0,18.0,76.0,18.0
342,Christos Tzolis,15.0,2.0,2.0,267.0,533.0,11000000.0,13200000.0,19.0,1.79,74.0,87.0,1.0,4.0,4.0,67.0,75.0,68.0,69.0,72.0,79.0,71.0,63.0,63.0,72.0,87.0,86.0,82.0,66.0,77.0,66.0,70.0,70.0,57.0,68.0,75.0,29.0,74.0,63.0,67.0,69.0,35.0,38.0,75.0,28.0
343,Luiz Araújo,1.0,0.0,0.0,0.0,85.0,11000000.0,11000000.0,25.0,1.75,77.0,80.0,2.0,2.0,4.0,71.0,66.0,54.0,71.0,66.0,82.0,75.0,64.0,65.0,81.0,87.0,89.0,90.0,73.0,79.0,72.0,56.0,68.0,44.0,73.0,55.0,33.0,71.0,75.0,62.0,78.0,44.0,41.0,78.0,31.0
344,Ben Brereton Díaz,28.0,20.0,1.0,120.0,2407.0,11000000.0,5500000.0,22.0,1.85,71.0,79.0,1.0,3.0,3.0,64.0,71.0,63.0,67.0,67.0,75.0,68.0,30.0,53.0,71.0,85.0,82.0,72.0,68.0,63.0,72.0,42.0,76.0,77.0,61.0,69.0,36.0,73.0,64.0,68.0,67.0,44.0,37.0,73.0,34.0
346,Luis Suárez,21.0,4.0,3.0,418.0,1670.0,11000000.0,8250000.0,24.0,1.85,88.0,88.0,5.0,4.0,3.0,80.0,93.0,84.0,83.0,90.0,83.0,86.0,82.0,77.0,86.0,76.0,69.0,75.0,92.0,78.0,89.0,69.0,78.0,85.0,88.0,87.0,41.0,91.0,84.0,83.0,87.0,45.0,38.0,88.0,42.0
350,Takefusa Kubo,13.0,2.0,2.0,401.0,802.0,11000000.0,11000000.0,20.0,1.73,75.0,88.0,1.0,4.0,4.0,61.0,70.0,39.0,73.0,57.0,85.0,68.0,72.0,58.0,81.0,89.0,74.0,86.0,65.0,83.0,66.0,54.0,76.0,52.0,60.0,43.0,29.0,68.0,72.0,61.0,70.0,43.0,48.0,76.0,40.0
351,Yoane Wissa,16.0,6.0,1.0,119.0,716.0,11000000.0,11000000.0,25.0,1.8,75.0,78.0,1.0,3.0,3.0,71.0,75.0,58.0,65.0,68.0,77.0,56.0,46.0,60.0,76.0,85.0,91.0,82.0,70.0,73.0,75.0,76.0,71.0,68.0,72.0,61.0,31.0,75.0,68.0,71.0,73.0,23.0,18.0,76.0,25.0
352,Riccardo Orsolini,15.0,4.0,3.0,206.0,825.0,11000000.0,16500000.0,24.0,1.83,76.0,82.0,2.0,4.0,4.0,77.0,65.0,52.0,76.0,73.0,82.0,80.0,70.0,67.0,83.0,81.0,79.0,83.0,74.0,76.0,79.0,59.0,68.0,72.0,74.0,44.0,40.0,67.0,73.0,71.0,74.0,26.0,24.0,78.0,52.0
353,Jesper Karlsson,26.0,11.0,8.0,201.0,2215.0,11000000.0,990000.0,23.0,1.79,75.0,82.0,1.0,3.0,4.0,69.0,72.0,44.0,68.0,76.0,79.0,74.0,62.0,62.0,78.0,84.0,80.0,92.0,69.0,89.0,75.0,84.0,78.0,42.0,73.0,44.0,35.0,72.0,69.0,65.0,73.0,36.0,34.0,76.0,32.0
354,Eddie Nketiah,9.0,5.0,0.0,96.0,480.0,11000000.0,8800000.0,22.0,1.75,74.0,81.0,1.0,3.0,3.0,43.0,77.0,67.0,66.0,69.0,74.0,54.0,38.0,45.0,73.0,85.0,82.0,80.0,77.0,72.0,72.0,73.0,68.0,59.0,62.0,52.0,19.0,78.0,58.0,68.0,68.0,19.0,15.0,76.0,22.0
356,Borja Mayoral,11.0,1.0,1.0,249.0,249.0,11000000.0,11000000.0,24.0,1.82,76.0,81.0,2.0,4.0,3.0,60.0,77.0,75.0,79.0,71.0,75.0,63.0,62.0,65.0,82.0,67.0,69.0,75.0,76.0,73.0,76.0,84.0,71.0,73.0,72.0,48.0,37.0,82.0,67.0,74.0,82.0,29.0,24.0,78.0,40.0
357,Borja Iglesias,25.0,8.0,2.0,167.0,1334.0,11000000.0,30800000.0,28.0,1.87,80.0,80.0,1.0,3.0,3.0,50.0,82.0,80.0,73.0,71.0,74.0,51.0,36.0,65.0,79.0,61.0,69.0,60.0,76.0,73.0,83.0,70.0,71.0,90.0,74.0,69.0,30.0,83.0,71.0,79.0,80.0,31.0,18.0,80.0,32.0
358,Trezeguet,2.0,1.0,0.0,70.0,70.0,11000000.0,6600000.0,27.0,1.79,75.0,76.0,3.0,4.0,4.0,75.0,72.0,42.0,76.0,63.0,80.0,63.0,63.0,68.0,78.0,78.0,77.0,78.0,66.0,70.0,76.0,63.0,81.0,67.0,76.0,45.0,22.0,69.0,64.0,74.0,74.0,43.0,27.0,75.0,39.0
359,Luca Waldschmidt,16.0,3.0,2.0,304.0,912.0,11000000.0,16500000.0,25.0,1.81,77.0,82.0,1.0,3.0,3.0,63.0,79.0,59.0,75.0,72.0,76.0,73.0,63.0,65.0,75.0,77.0,71.0,78.0,75.0,77.0,81.0,66.0,70.0,64.0,82.0,44.0,28.0,82.0,75.0,83.0,72.0,19.0,18.0,78.0,33.0
360,Lucas Alario,16.0,1.0,0.0,473.0,473.0,11000000.0,13200000.0,29.0,1.84,78.0,78.0,2.0,3.0,3.0,48.0,83.0,85.0,69.0,80.0,73.0,49.0,43.0,47.0,78.0,66.0,60.0,68.0,77.0,71.0,79.0,87.0,68.0,78.0,63.0,72.0,22.0,84.0,65.0,77.0,76.0,27.0,20.0,78.0,22.0
361,Mohamed Elyounoussi,16.0,6.0,2.0,173.0,1038.0,11000000.0,13200000.0,27.0,1.78,75.0,75.0,1.0,4.0,4.0,72.0,76.0,71.0,74.0,69.0,76.0,74.0,64.0,66.0,77.0,74.0,75.0,82.0,73.0,80.0,75.0,77.0,69.0,64.0,74.0,72.0,36.0,74.0,73.0,64.0,70.0,57.0,51.0,75.0,58.0
362,Anwar El Ghazi,12.0,3.0,3.0,182.0,547.0,11000000.0,11000000.0,26.0,1.89,76.0,77.0,1.0,4.0,4.0,74.0,77.0,72.0,73.0,67.0,78.0,75.0,73.0,54.0,78.0,68.0,77.0,68.0,79.0,65.0,84.0,52.0,73.0,75.0,77.0,55.0,28.0,78.0,73.0,80.0,72.0,28.0,15.0,78.0,40.0
363,Michy Batshuayi,24.0,8.0,4.0,245.0,1961.0,11000000.0,11000000.0,28.0,1.85,76.0,76.0,2.0,5.0,4.0,65.0,78.0,75.0,62.0,76.0,76.0,66.0,46.0,38.0,77.0,74.0,73.0,75.0,76.0,71.0,81.0,80.0,65.0,79.0,73.0,63.0,23.0,78.0,64.0,67.0,81.0,26.0,22.0,76.0,37.0
364,Felipe Anderson,27.0,4.0,5.0,489.0,1955.0,11000000.0,11000000.0,28.0,1.75,78.0,78.0,3.0,4.0,4.0,74.0,70.0,44.0,77.0,72.0,82.0,77.0,69.0,75.0,81.0,85.0,85.0,84.0,75.0,86.0,82.0,33.0,65.0,55.0,79.0,67.0,69.0,74.0,76.0,53.0,81.0,59.0,46.0,78.0,47.0
369,Jens Petter Hauge,17.0,3.0,0.0,227.0,681.0,10450000.0,10450000.0,22.0,1.84,76.0,83.0,1.0,3.0,4.0,69.0,69.0,49.0,68.0,56.0,78.0,66.0,54.0,63.0,78.0,89.0,88.0,81.0,70.0,76.0,68.0,55.0,83.0,67.0,68.0,45.0,39.0,71.0,70.0,65.0,74.0,43.0,37.0,77.0,43.0
370,Evanilson,22.0,9.0,3.0,150.0,1354.0,9900000.0,8250000.0,22.0,1.83,73.0,83.0,1.0,4.0,2.0,32.0,78.0,75.0,72.0,69.0,72.0,67.0,40.0,59.0,71.0,73.0,71.0,63.0,60.0,62.0,75.0,64.0,68.0,73.0,71.0,29.0,16.0,79.0,59.0,69.0,67.0,20.0,19.0,75.0,22.0
372,Nathanaël Mbuku,18.0,1.0,0.0,894.0,894.0,9900000.0,0.0,19.0,1.7,71.0,83.0,1.0,2.0,3.0,68.0,65.0,48.0,71.0,64.0,77.0,66.0,56.0,63.0,74.0,80.0,77.0,85.0,60.0,86.0,71.0,39.0,60.0,48.0,55.0,41.0,29.0,64.0,65.0,64.0,64.0,34.0,35.0,72.0,32.0
373,Lassina Traoré,14.0,9.0,0.0,109.0,979.0,9900000.0,7150000.0,21.0,1.83,72.0,82.0,1.0,3.0,3.0,47.0,73.0,68.0,68.0,57.0,69.0,55.0,44.0,43.0,70.0,75.0,78.0,68.0,69.0,67.0,76.0,84.0,73.0,84.0,62.0,57.0,32.0,73.0,64.0,63.0,70.0,22.0,25.0,74.0,22.0
374,Chidera Ejuke,18.0,4.0,3.0,341.0,1364.0,9900000.0,6050000.0,24.0,1.76,74.0,81.0,1.0,3.0,4.0,65.0,70.0,44.0,68.0,59.0,80.0,64.0,36.0,50.0,74.0,95.0,93.0,89.0,65.0,90.0,69.0,56.0,76.0,59.0,71.0,40.0,31.0,71.0,66.0,49.0,66.0,37.0,31.0,75.0,40.0
375,Aleksandr Sobolev,23.0,8.0,4.0,194.0,1552.0,9900000.0,3850000.0,24.0,1.91,75.0,80.0,1.0,3.0,2.0,35.0,76.0,78.0,72.0,69.0,73.0,55.0,58.0,45.0,72.0,70.0,72.0,66.0,73.0,57.0,80.0,75.0,66.0,78.0,69.0,65.0,28.0,75.0,65.0,74.0,71.0,41.0,29.0,77.0,44.0
377,Rhian Brewster,13.0,3.0,0.0,267.0,802.0,9900000.0,5940000.0,21.0,1.8,69.0,80.0,1.0,4.0,3.0,50.0,73.0,58.0,61.0,70.0,72.0,47.0,58.0,50.0,69.0,79.0,79.0,77.0,71.0,76.0,71.0,67.0,64.0,62.0,67.0,51.0,15.0,70.0,56.0,61.0,62.0,18.0,17.0,71.0,14.0
378,Ademola Lookman,19.0,5.0,3.0,218.0,1088.0,9900000.0,9900000.0,24.0,1.74,77.0,83.0,1.0,4.0,4.0,73.0,74.0,48.0,72.0,60.0,83.0,69.0,51.0,53.0,80.0,87.0,83.0,90.0,69.0,85.0,77.0,64.0,75.0,55.0,70.0,62.0,32.0,74.0,72.0,62.0,76.0,23.0,24.0,78.0,27.0
379,Riccardo Sottil,15.0,3.0,2.0,262.0,785.0,9900000.0,7700000.0,22.0,1.8,70.0,82.0,1.0,3.0,4.0,67.0,65.0,42.0,67.0,52.0,72.0,55.0,45.0,61.0,73.0,84.0,82.0,76.0,62.0,75.0,66.0,45.0,53.0,52.0,51.0,40.0,25.0,68.0,62.0,69.0,60.0,35.0,39.0,71.0,32.0
380,Stephy Mavididi,19.0,6.0,3.0,250.0,1500.0,9900000.0,3960000.0,23.0,1.83,76.0,81.0,1.0,2.0,3.0,69.0,75.0,70.0,71.0,68.0,79.0,53.0,42.0,66.0,74.0,88.0,89.0,70.0,69.0,64.0,73.0,73.0,70.0,74.0,70.0,45.0,24.0,75.0,68.0,59.0,69.0,18.0,20.0,77.0,27.0
381,Orbelín Pineda,14.0,1.0,3.0,1179.0,1179.0,9900000.0,9900000.0,25.0,1.69,77.0,80.0,1.0,4.0,3.0,70.0,75.0,41.0,75.0,67.0,80.0,68.0,56.0,70.0,75.0,84.0,87.0,91.0,70.0,83.0,72.0,64.0,85.0,57.0,73.0,67.0,66.0,70.0,73.0,63.0,69.0,65.0,65.0,78.0,63.0
382,Mergim Berisha,20.0,6.0,3.0,184.0,1102.0,9900000.0,11000000.0,23.0,1.88,75.0,80.0,1.0,3.0,3.0,67.0,77.0,70.0,74.0,68.0,74.0,72.0,68.0,65.0,76.0,73.0,80.0,69.0,70.0,66.0,78.0,73.0,73.0,79.0,74.0,73.0,32.0,74.0,74.0,73.0,74.0,24.0,22.0,77.0,29.0
383,Moussa Marega,14.0,4.0,2.0,295.0,1179.0,9900000.0,11000000.0,30.0,1.83,77.0,77.0,2.0,3.0,3.0,65.0,79.0,77.0,63.0,71.0,64.0,58.0,37.0,52.0,66.0,86.0,88.0,66.0,77.0,50.0,80.0,76.0,89.0,90.0,70.0,89.0,26.0,84.0,67.0,71.0,72.0,34.0,28.0,77.0,45.0
384,Theo Bongonda,27.0,7.0,5.0,286.0,2000.0,9900000.0,6600000.0,26.0,1.77,77.0,79.0,1.0,3.0,4.0,70.0,71.0,49.0,74.0,66.0,83.0,72.0,72.0,67.0,82.0,86.0,75.0,83.0,73.0,79.0,69.0,82.0,70.0,57.0,76.0,56.0,35.0,76.0,72.0,62.0,81.0,26.0,24.0,79.0,37.0
385,Moses Simon,19.0,2.0,6.0,746.0,1492.0,9900000.0,7150000.0,26.0,1.68,75.0,76.0,2.0,4.0,4.0,70.0,70.0,58.0,67.0,72.0,80.0,47.0,55.0,62.0,74.0,91.0,92.0,90.0,68.0,92.0,73.0,89.0,75.0,69.0,66.0,38.0,34.0,72.0,69.0,60.0,74.0,30.0,32.0,75.0,30.0
387,Serhou Guirassy,29.0,4.0,2.0,266.0,1065.0,9900000.0,8800000.0,25.0,1.87,77.0,81.0,2.0,3.0,3.0,56.0,80.0,75.0,73.0,73.0,76.0,66.0,67.0,63.0,79.0,69.0,72.0,68.0,74.0,63.0,76.0,77.0,70.0,80.0,71.0,72.0,29.0,79.0,68.0,79.0,72.0,29.0,34.0,79.0,42.0
389,Enes Ünal,20.0,6.0,0.0,226.0,1358.0,9900000.0,8800000.0,24.0,1.87,75.0,81.0,1.0,3.0,3.0,56.0,75.0,73.0,74.0,74.0,77.0,68.0,63.0,47.0,76.0,69.0,67.0,73.0,73.0,71.0,85.0,80.0,68.0,83.0,72.0,70.0,29.0,74.0,65.0,80.0,68.0,33.0,24.0,77.0,34.0
390,Franck Honorat,22.0,6.0,4.0,304.0,1826.0,9900000.0,1760000.0,25.0,1.8,75.0,77.0,2.0,2.0,4.0,77.0,73.0,59.0,72.0,69.0,78.0,67.0,55.0,63.0,76.0,78.0,76.0,71.0,70.0,68.0,75.0,81.0,67.0,53.0,75.0,46.0,43.0,72.0,72.0,68.0,69.0,45.0,39.0,76.0,49.0
391,Irfan Can Kahveci,16.0,1.0,4.0,1027.0,1027.0,9900000.0,11000000.0,26.0,1.76,75.0,78.0,1.0,4.0,4.0,70.0,67.0,55.0,78.0,60.0,78.0,77.0,77.0,75.0,78.0,75.0,79.0,75.0,75.0,80.0,72.0,62.0,84.0,67.0,72.0,65.0,71.0,67.0,77.0,54.0,74.0,61.0,53.0,77.0,72.0
393,Vincent Aboubakar,15.0,5.0,3.0,215.0,1076.0,9900000.0,11000000.0,29.0,1.84,77.0,77.0,2.0,4.0,4.0,63.0,75.0,75.0,72.0,76.0,80.0,80.0,67.0,68.0,80.0,75.0,75.0,72.0,74.0,63.0,77.0,75.0,71.0,86.0,72.0,76.0,33.0,77.0,76.0,74.0,82.0,23.0,19.0,77.0,44.0
394,Rachid Ghezzal,24.0,3.0,1.0,619.0,1856.0,9900000.0,13200000.0,29.0,1.82,78.0,78.0,2.0,3.0,4.0,84.0,68.0,56.0,80.0,62.0,81.0,83.0,74.0,81.0,82.0,72.0,71.0,80.0,71.0,73.0,72.0,58.0,67.0,51.0,70.0,48.0,27.0,73.0,80.0,72.0,75.0,24.0,23.0,78.0,25.0
395,Viktor Claesson,20.0,3.0,2.0,476.0,1428.0,9900000.0,1650000.0,30.0,1.83,76.0,76.0,1.0,3.0,3.0,68.0,76.0,51.0,75.0,65.0,74.0,70.0,64.0,73.0,77.0,75.0,76.0,78.0,77.0,64.0,78.0,53.0,88.0,72.0,77.0,70.0,40.0,78.0,80.0,64.0,77.0,49.0,50.0,76.0,51.0
396,Artem Dzyuba,24.0,10.0,9.0,135.0,1348.0,9900000.0,7700000.0,33.0,1.96,78.0,78.0,2.0,3.0,3.0,61.0,81.0,87.0,77.0,74.0,73.0,66.0,60.0,57.0,77.0,63.0,66.0,55.0,75.0,35.0,79.0,65.0,78.0,94.0,69.0,80.0,30.0,81.0,77.0,75.0,79.0,17.0,21.0,78.0,25.0
397,Tajon Buchanan,1.0,0.0,0.0,0.0,90.0,9350000.0,9350000.0,22.0,1.83,69.0,77.0,1.0,3.0,3.0,60.0,66.0,60.0,64.0,50.0,75.0,49.0,25.0,45.0,69.0,91.0,89.0,79.0,62.0,64.0,66.0,71.0,69.0,62.0,55.0,59.0,46.0,63.0,62.0,55.0,62.0,62.0,50.0,70.0,50.0
398,Mohamed Daramy,25.0,5.0,5.0,242.0,1212.0,9350000.0,4400000.0,20.0,1.8,69.0,82.0,1.0,3.0,4.0,59.0,61.0,44.0,64.0,54.0,74.0,58.0,49.0,53.0,70.0,86.0,87.0,81.0,60.0,74.0,62.0,76.0,75.0,61.0,51.0,58.0,21.0,67.0,63.0,51.0,62.0,25.0,17.0,70.0,25.0
399,Marcos André,21.0,3.0,2.0,295.0,885.0,9350000.0,3850000.0,25.0,1.85,75.0,81.0,1.0,4.0,3.0,51.0,80.0,74.0,69.0,69.0,73.0,50.0,45.0,57.0,74.0,78.0,74.0,73.0,58.0,69.0,79.0,79.0,68.0,79.0,77.0,62.0,33.0,77.0,55.0,61.0,65.0,36.0,31.0,77.0,33.0
400,Fedor Chalov,18.0,3.0,5.0,348.0,1045.0,9350000.0,440000.0,23.0,1.8,74.0,80.0,1.0,4.0,3.0,63.0,74.0,67.0,74.0,73.0,74.0,61.0,38.0,60.0,76.0,76.0,75.0,75.0,77.0,72.0,72.0,62.0,76.0,67.0,68.0,36.0,44.0,77.0,74.0,71.0,81.0,26.0,23.0,76.0,23.0
401,José Manuel López,40.0,15.0,3.0,160.0,2393.0,8800000.0,0.0,21.0,1.88,74.0,74.0,1.0,3.0,3.0,73.0,55.0,65.0,76.0,49.0,68.0,67.0,52.0,64.0,69.0,63.0,64.0,66.0,75.0,70.0,57.0,76.0,72.0,71.0,43.0,84.0,73.0,61.0,65.0,56.0,81.0,75.0,79.0,74.0,60.0
